Account__c,RecordTypeId,Type__c,Status__c,CurrencyIsoCode,AutoRenewal__c,Primary__c,BillingConditions__c,InvoiceSendingMethod__c,PaymentMethod__c,SendInvoiceTo__c,BillingInstructions__c,PurchaseOrderRequired__c,PurchaseOrderReference__c,PurchaseOrderRequestDate__c,BillingBusinessName__c,BillingDepartment__c,BillingAddress__Street__s,BillingAddress__City__s,BillingAddress__PostalCode__s,BillingAddress__CountryCode__s,ShippingBusinessName__c,ShippingDepartment__c,ShippingAddress__Street__s,ShippingAddress__City__s,ShippingAddress__CountryCode__s,BillingContact__c,CashCollectionContact__c,SourceOpportunity__c
001IV000015SAFeYAO,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,PASTACORP TRAITEUR sas,Ressources Humaines,21 Rue de Borolan,CHAMBERY,73000,FR,PASTACORP TRAITEUR sas,,21 Rue de Borolan,CHAMBERY,FR,003IV000010rvHPYAY,003IV000010rvHFYAY,006ci00000SqrRiAAJ
001IV000015RhU6YAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,AUTAJON SERVICES sasu,,36 route d'Espeluche- CS 40149,MONTELIMAR CEDEX,26216,FR,AUTAJON SERVICES sasu,,36 route d'Espeluche- CS 40149,MONTELIMAR CEDEX,FR,003IV000010rv3eYAA,003IV000010t2ZTYAY,006ci00000SqrRjAAJ
001IV000015RyDxYAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,POINT. P S.A.S.,IDF - BCR,9 rue Chappe Gessalin,BRIE COMTE ROBERT,77170,FR,POINT P IDF,,4 Boulevard Jean Moulin -  CS10429,NANTES,FR,003IV000010rlbQYAQ,003IV000010rlbQYAQ,006ci00000SqrRkAAJ
001IV000015S8iTYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,LIS France sa,Service RH,67 rue de la Gare,CERENCES,50510,FR,LIS France sa,,67 rue de la Gare,CERENCES,FR,003IV000010sxFvYAI,003IV000010tRVeYAM,006ci00000SqrRlAAJ
001IV000015RyDjYAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,ALMA SA,,70 Avenue des Sources,SAINT- YORRE,3270,FR,ALMA SA,,70 Avenue des Sources,SAINT- YORRE,FR,003IV000010tJXDYA2,003IV000010tJXDYA2,006ci00000SqrRmAAJ
001IV000015S50LYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Paper,Transfer,,Redevance 2026,false,,,SENIOR AEROSPACE ERMETO SAS,,8 rue du Clos Thomas - BP 30,FOSSÉ,41330,FR,SENIOR AEROSPACE ERMETO SAS,,8 rue du Clos Thomas - BP 30,FOSSÉ,FR,003IV000010tQI5YAM,003IV000010tQI6YAM,006ci00000SqrRnAAJ
001IV000015SAI9YAO,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,acano@elydan.eu,Redevance 2026,false,,,ELYDAN sas,Ressources Humaines,127 Avenue Louis Bleriot,SAINT ETIENNE DE SAINT GEOIRS,38590,FR,ELYDAN sas,Facture originale électronique à,acano@elydan.eu,.,FR,003IV000010sqLJYAY,003IV000010sqLKYAY,006ci00000SqrRoAAJ
001IV000015RyL0YAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,account.payable@revima.fr,Redevance 2026,false,,,REVIMA sasu,,1 Avenue du Latham 47,RIVES-EN-SEINE,76490,FR,REVIMA sasu,Facture originale électronique à,account.payable@revima.fr,.,FR,003IV000010tIiXYAU,003IV000010tIiXYAU,006ci00000SqrRpAAJ
001IV000015S50KYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,accounting.millet@milletmountaingroup.com,Redevance 2026,false,,,MILLET MOUNTAIN GROUP SAS,,21 rue du Pré Faucon,ANNECY LE VIEUX CEDEX,74943,FR,MILLET MOUNTAIN GROUP SAS,Facture originale électronique à,accounting.millet@milletmountaingroup.com,.,FR,003IV000010tQIMYA2,003IV000010tQIMYA2,006ci00000SqrRqAAJ
001IV000015SAHqYAO,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,accounts-payable.besancon@fci.com,Redevance 2026,false,,,AMPHENOL FCI BESANCON sas,,2 Rue Lafayette,BESANCON,25000,FR,AMPHENOL FCI BESANCON sas,Facture originale électronique à,accounts-payable.besancon@fci.com,.,FR,003IV000010t1XAYAY,003IV000010t1XAYAY,006ci00000SqrRrAAJ
001IV000015RyDiYAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,AccountsPayableFrance@Tenneco.com,Redevance 2026,false,,,TENNECO AUTOMOTIVE FRANCE SAS,,ZA des Giraumeries,SAINT BERTHEVIN,53940,FR,TENNECO AUTOMOTIVE FRANCE SAS,Facture originale électronique à,AccountsPayableFrance@Tenneco.com,.,FR,003IV000010tJXCYA2,003IV000010tJXCYA2,006ci00000SqrRsAAJ
001IV000015S2SQYA0,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,60 days,Email,Transfer,accueilfactures.excelvision@fareva.com,Redevance 2026,false,,,EXCELVISION sas,,27 Rue de la Lombardière,ANNONAY,7100,FR,EXCELVISION sas,Facture originale électronique à,accueilfactures.excelvision@fareva.com,.,FR,003IV000010t687YAA,003IV000010t688YAA,006ci00000SqrRtAAJ
001IV000015RyDzYAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,adminlallemand@lafuma-mobilier.fr,Redevance 2026,false,,,LALLEMAND SAS,,Le Balmay,VIEU D'IZENAVE,1430,FR,LALLEMAND SAS,Facture originale électronique à,adminlallemand@lafuma-mobilier.fr,.,FR,003IV000010su8mYAA,003IV000010su8mYAA,006ci00000SqrRuAAJ
001IV000015S85hYAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,alexandra.rongy@ksb.com,Redevance 2026,false,,,KSB SAS,,Allée de Sagan,CHATEAUROUX,36000,FR,KSB SAS,Facture originale électronique à,alexandra.rongy@ksb.com,.,FR,003IV000010tIdmYAE,003IV000010sxGoYAI,006ci00000SqrRvAAJ
001IV000015S867YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,alexandragrossat@berryglobal.com,Redevance 2026,true,,2026-01-01,PROMENS SA,,5 Rue Castellion,BELLIGNAT,01100,FR,PROMENS SA,Facture originale électronique à,alexandragrossat@berryglobal.com,.,FR,003IV000010su8aYAA,003IV000010su8aYAA,006ci00000SqrRwAAJ
001IV000015S50OYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,45 days,Email,Transfer,amelie.chesneau@danfoss.com,Redevance 2026,true,,2026-01-01,DANFOSS COMMERCIAL COMPRESSORS sa,Comptabilité,ZI de Reyrieux - BP331,TREVOUX,1600,FR,DANFOSS COMMERCIAL COMPRESSORS sa,Facture originale électronique à,amelie.chesneau@danfoss.com,.,FR,003IV000010t7J0YAI,003IV000010tIiJYAU,006ci00000SqrRxAAJ
001IV000015RyDwYAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,amelie.rousselot@francos.fr,Redevance 2026,false,,,FRANCOS sasu,,1 Rue des Mardeaux,BLOIS,41000,FR,FRANCOS sasu,Facture originale électronique à,amelie.rousselot@francos.fr,.,FR,003IV000010t2BcYAI,003IV000010t2BcYAI,006ci00000SqrRyAAJ
001IV000015S2eKYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,andrea.cametti@voestalpine.com,Redevance 2026,false,,,VOESTALPINE AUTOMOTIVE COMPONENTS FONTAINE sa,,Zac de l'Aéroparc,FONTAINE,90150,FR,VOESTALPINE AUTOMOTIVE COMPONENTS FONTAINE sa,Facture originale électronique à,andrea.cametti@voestalpine.com,.,FR,003IV000010su9YYAQ,003IV000010su9YYAQ,006ci00000SqrRzAAJ
001IV000015S8j3YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,60 days,Email,Transfer,ap.biospringer@lesaffre.com,Redevance 2026,true,,2026-01-01,BIO SPRINGER sa,Ressources Humaines,103 Rue Jean Jaurès,MAISONS-ALFORT,94700,FR,BIO SPRINGER sa,Facture originale électronique à,ap.biospringer@lesaffre.com,.,FR,003IV000010tSnLYAU,003IV000010sqM3YAI,006ci00000SqrS0AAJ
001IV000015S8jFYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,ap.invoicesnemeralaverpilliere@nemera.net,Redevance 2026,true,,2026-01-01,NEMERA LA VERPILIERE sas,,20 Avenue de la Gare,LA VERPILLIERE,38290,FR,NEMERA LA VERPILIERE sas,Facture originale électronique à,ap.invoicesnemeralaverpilliere@nemera.net,.,FR,003IV000010su9XYAQ,003IV000010su9XYAQ,006ci00000SqrS1AAJ
001IV000015S862YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,ap_invoices_fr@ksb.com,Redevance 2026,false,,,KSB SAS,Comptabilité fournisseurs,4 Allée des Barbanniers,GENNEVILLIERS,92230,FR,KSB SAS,Facture originale électronique à,ap_invoices_fr@ksb.com,.,FR,003IV000010su8fYAA,003IV000010su8gYAA,006ci00000SqrS2AAJ
001IV000015S2SUYA0,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,ap3110ivcfranceoperations@invacare.com,Redevance 2026,false,,,INVACARE FRANCE OPERATIONS SAS,,Route de Saint- Roch,FONDETTES,37230,FR,INVACARE FRANCE OPERATIONS SAS,Facture originale électronique à,ap3110ivcfranceoperations@invacare.com,.,FR,003IV000010su8kYAA,003IV000010su8kYAA,006ci00000SqrS3AAJ
001IV000015RyECYA0,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,apchemvironparentis.ccc@kuraray.com,Redevance 2026,true,,2026-01-01,CHEMVRION PARENTIS SAS,,58 Avenue de Wagram,PARIS,75017,FR,CHEMVRION PARENTIS SAS,Facture originale électronique à,apchemvironparentis.ccc@kuraray.com,.,FR,003IV000010t9wwYAA,003IV000010t9wwYAA,006ci00000SqrS4AAJ
001IV000015RzTQYA0,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,60 days,Email,Transfer,apinvoicesdunkerque@astrazeneca.com,Redevance 2026,true,,2026-01-01,ASTRA ZENECA DUNKERQUE PRODUCTION scs,,224 Avenue de la Dordogne,DUNKERQUE,59640,FR,ASTRA ZENECA DUNKERQUE PRODUCTION scs,Facture originale électronique à,apinvoicesdunkerque@astrazeneca.com,.,FR,003IV000010tJa7YAE,003IV000010tJa7YAE,006ci00000SqrS5AAJ
001IV000015RhU5YAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,apinvoicesfr@ball.com,Redevance 2026,false,,,BALL PACKAGING EUROPE FRANCE sasu,,Zone d'Entreprises de Bergues,BIERNE,59380,FR,BALL PACKAGING EUROPE FRANCE sasu,Facture originale électronique à,apinvoicesfr@ball.com,.,FR,003IV000010t2FaYAI,003IV000010t2FaYAI,006ci00000SqrS6AAJ
001IV000015RzTcYAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,ARBCOMPTACRF@crl.com,Redevance 2026,false,,,CHARLES RIVER LABORATORIES FRANCE - C.R.L.F. sasu,COMPTABILITE,327 Impasse du Domaine Rozier,SAINT GERMAIN NUELLES,69210,FR,CHARLES RIVER LABORATORIES FRANCE - C.R.L.F. sasu,Facture originale électronique à,ARBCOMPTACRF@crl.com,.,FR,003IV000010su8wYAA,003IV000010su8wYAA,006ci00000SqrS7AAJ
001IV000015S2SIYA0,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,ass.gestion@restonis.fr,Redevance 2026,false,,,RESTONIS sasu,,12 rue Jean Marie Poulmarch,IVRY SUR SEINE,94200,FR,RESTONIS sasu,Facture originale électronique à,ass.gestion@restonis.fr,.,FR,003IV000010t7NpYAI,003IV000010t7NpYAI,006ci00000SqrS8AAJ
001IV000015S8j2YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,auby.comptafactures@nyrstar.com,Redevance 2026,false,,,NYRSTAR FRANCE sasu,,Rue Jean Jacques Rousseau,AUBY,59950,FR,NYRSTAR FRANCE sasu,Facture originale électronique à,auby.comptafactures@nyrstar.com,.,FR,003IV000010sqLNYAY,003IV000010sqLMYAY,006ci00000SqrS9AAJ
001IV000015S8jKYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,60 days,Email,Transfer,automotive.compta@ineos.com,Redevance 2026,true,,2026-01-01,INEOS AUTOMOTIVE SAS,Service comptabilité,Europôle de Sarreguemines,HAMBACH,57913,FR,INEOS AUTOMOTIVE SAS,Facture originale électronique à,automotive.compta@ineos.com,.,FR,003IV000010tSrXYAU,003IV000010tSrXYAU,006ci00000SqrSAAAZ
001IV000015RewNYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,bcouet@carea.fr,Redevance 2026,false,,,CAREA FACADE sasu,,ZA DE BEL AIR Bel-Air-de-Combrée - COMBREE,OMBREE D'ANJOU,49520,FR,CAREA FACADE sasu,Facture originale électronique à,bcouet@carea.fr,.,FR,003IV000010taO5YAI,003IV000010taO5YAI,006ci00000SqrSBAAZ
001IV000015S8j9YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,beatrice.chretien@oterra.com,Redevance 2026,true,,2026-01-01,OTERRA FRANCE SAS,,Rue Ambroise Paré,COSSE-LE-VIVIEN,53230,FR,OTERRA FRANCE SAS,Facture originale électronique à,beatrice.chretien@oterra.com,.,FR,003IV000010tSkkYAE,003IV000010tSkkYAE,006ci00000SqrSCAAZ
001IV000015S6a7YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,benoit.pinon@grouperioland.fr,Redevance 2026,false,,,GROUPE RIOLAND sas,,24 La Barre,BAUDRES,36110,FR,GROUPE RIOLAND sas,Facture originale électronique à,benoit.pinon@grouperioland.fr,.,FR,003IV000010sxFqYAI,003IV000010sxFqYAI,006ci00000SqrSDAAZ
001IV000015RyE5YAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,besma.ammari@dps-beaune.com,Redevance 2026,false,,,DPS BEAUNE sas,,156 Route de Dijon,BEAUNE,21200,FR,DPS BEAUNE sas,Facture originale électronique à,besma.ammari@dps-beaune.com,.,FR,003IV000010tJWHYA2,003IV000010tJWHYA2,006ci00000SqrSEAAZ
001IV000015S8ilYAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Direct Debit,bjumelart@sherpa-logistique.fr,Redevance 2026,false,,,SHERPA LOGISTIQUE sas,,ZI du Cappa,ST RAMBERT D'ALBON,26140,FR,SHERPA LOGISTIQUE sas,Facture originale électronique à,bjumelart@sherpa-logistique.fr,.,FR,003IV000010tSkOYAU,003IV000010tSkOYAU,006ci00000SqrSFAAZ
001IV000015S85zYAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,bon.nathalie@rotarex.com,Redevance 2026,false,,,SOCIETE DE MECANIQUE DES TILLES sas,,5 Rue de Labergement,GENLIS,21110,FR,SOCIETE DE MECANIQUE DES TILLES sas,Facture originale électronique à,bon.nathalie@rotarex.com,.,FR,003IV000010tIecYAE,003IV000010tIedYAE,006ci00000SqrSGAAZ
001IV000015S8imYAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,bonnefoy.achats@groupe-bonnefoy.fr,Redevance 2026,false,,,J.C. BONNEFOY sas,,ZI- 14 Rue de l'Industrie - BP28,SAONE,25660,FR,J.C. BONNEFOY sas,Facture originale électronique à,bonnefoy.achats@groupe-bonnefoy.fr,.,FR,003IV000010t2kBYAQ,003IV000010t2kBYAQ,006ci00000SqrSHAAZ
001IV000015S508YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,bruno.gratas@viantmedical.com,Redevance 2026,false,,,VIANT CHAUMONT SAS,Finance,4 rue Renée et Louis Landanger,CHAUMONT,52000,FR,VIANT CHAUMONT SAS,Facture originale électronique à,bruno.gratas@viantmedical.com,.,FR,003IV000010tQHtYAM,003IV000010tQHtYAM,006ci00000SqrSIAAZ
001IV000015S50QYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,bureau.formation@angdm.fr,Redevance 2026,false,,,AGENCE NATIONALE POUR LA GARANTIE DES DROITS DES MINEURS - ANGDM,CENTRE DE GESTION,110 Avenue de la fosse 23,NOYELLES SOUS LENS,62221,FR,AGENCE NATIONALE POUR LA GARANTIE DES DROITS DES MINEURS - ANGDM,Facture originale électronique à,bureau.formation@angdm.fr,.,FR,003IV000010tQITYA2,003IV000010tQITYA2,006ci00000SqrSJAAZ
001IV000015S8j0YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,c.latil@socamel.com,Redevance 2026,false,,,SOCAMEL TECHNOLOGIES sas,,Descente Allivet,RENAGE,38140,FR,SOCAMEL TECHNOLOGIES sas,Facture originale électronique à,c.latil@socamel.com,.,FR,003IV000010tSkaYAE,003IV000010tSkaYAE,006ci00000SqrSKAAZ
001IV000015RzTjYAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,camille.meurin@kraftheinz.com,Redevance 2026,true,,2026-01-01,H.J. HEINZ FRANCE sasu,,18 Rue Marx Dormoy,SECLIN,59113,FR,H.J. HEINZ FRANCE sasu,Facture originale électronique à,camille.meurin@kraftheinz.com,.,FR,003IV000010t7tcYAA,003IV000010t7tcYAA,006ci00000SqrSLAAZ
001IV000015S86BYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,camille.niquet@grandvision.fr,Redevance 2026,false,,,GRANDVISION FRANCE sasu,,Rue du Four à Chaux - ZA DES LOUAITIERES,NOUAN-LE-FUZELIER,41600,FR,GRANDVISION FRANCE sasu,Facture originale électronique à,camille.niquet@grandvision.fr,.,FR,003IV000010t1X4YAI,003IV000010t1X4YAI,006ci00000SqrSMAAZ
001IV000015S8ioYAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,carole.tardieu@mm.group,Redevance 2026,false,,,MMP PACKETIS SAS,,Treille,CHAZELLES,16380,FR,MMP PACKETIS SAS,Facture originale électronique à,carole.tardieu@mm.group,.,FR,003IV000010s6QzYAI,003IV000010s6QzYAI,006ci00000SqrSNAAZ
001IV000015S6ZvYAK,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,cbelmere@toyoink-europe.com,Redevance 2026,false,,,TOYO INK EUROPE SPECIALTY CHEMICALS sasu,,Boulevard Dambourney,OISSEL,76350,FR,TOYO INK EUROPE SPECIALTY CHEMICALS sasu,Facture originale électronique à,cbelmere@toyoink-europe.com,.,FR,003IV000010sxFfYAI,003IV000010sxFfYAI,006ci00000SqrSOAAZ
001IV000015S8nKYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Direct Debit,ceap.invoices@moypark.com,Redevance 2026,false,,,MOY PARK FRANCE sas,,712 Chemin de Noyelles,HENIN-BEAUMONT,72110,FR,MOY PARK FRANCE sas,Facture originale électronique à,ceap.invoices@moypark.com,.,FR,003IV000010su9HYAQ,003IV000010su9HYAQ,006ci00000SqrSPAAZ
001IV000015SAFiYAO,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,cecile.geoffroy@bpmed.fr,Redevance 2026,false,,,BANQUE POPULAIRE MEDITERRANEE sa,,457 Promenade des Anglais - BP 241,NICE,6200,FR,BANQUE POPULAIRE MEDITERRANEE sa,Facture originale électronique à,cecile.geoffroy@bpmed.fr,.,FR,003IV000010rvHQYAY,003IV000010t2gOYAQ,006ci00000SqrSQAAZ
001IV000015S8ipYAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,cecile.pencole-lehaut@cebfc.caisse-epargne.fr,Redevance 2026,false,,,CAISSE D'EPARGNE ET DE PREVOYANCE DE BOURGOGNE FRANCHE-COMTE sa - CEBFC,,1 Rond Point de la Nation,DIJON,21000,FR,CAISSE D'EPARGNE ET DE PREVOYANCE DE BOURGOGNE FRANCHE-COMTE sa - CEBFC,Facture originale électronique à,cecile.pencole-lehaut@cebfc.caisse-epargne.fr,.,FR,003IV000010s6QxYAI,003IV000010s6QxYAI,006ci00000SqrSRAAZ
001IV000015SADqYAO,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,60 days,Email,Transfer,celine.champion@thuasne.fr,Redevance 2026,false,,,THUASNE sas,,27 Rue de la Jomayere,SAINT-ETIENNE Cedex 2,42100,FR,THUASNE sas,Facture originale électronique à,celine.champion@thuasne.fr,.,FR,003IV000010t4BKYAY,003IV000010t4BKYAY,006ci00000SqrSSAAZ
001IV000015S6a6YAC,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,celine.chevrel@fmgc.net,Redevance 2026,false,,,FONDERIE ET MECANIQUE GENERALE CASTELBRIANTAISE sa - FMGC,,ZI Hochepie,SOUDAN,44110,FR,FONDERIE ET MECANIQUE GENERALE CASTELBRIANTAISE sa - FMGC,Facture originale électronique à,celine.chevrel@fmgc.net,.,FR,003IV000010t2ZCYAY,003IV000010t2ZCYAY,006ci00000SqrSTAAZ
001IV000015SAHxYAO,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,cerutti@vernet.fr,Redevance 2026,false,,,VERNET sas,,21-27 route d'Arpajon,ARPAJON Cedex,91291,FR,VERNET sas,Facture originale électronique à,cerutti@vernet.fr,.,FR,003IV000010tPagYAE,003IV000010tPagYAE,006ci00000SqrSUAAZ
001IV000015S8jIYAS,012IV000001yk7WYAQ,Renewal,Backlog,EUR,true,false,30 days,Email,Transfer,cfournisseurs@dagard.com,Redevance 2026,false,,,DAGARD sas,,Route du Stade,BOUSSAC,23600,FR,DAGARD sas,Facture originale électronique à,cfournisseurs@dagard.com,.,FR,003IV000010tJaCYAU,003IV000010tJaCYAU,006ci00000SqrSVAAZ
