Type de commande,*,Date,À ce jour,Période,Période de taxe,Type,Numéro de document,Customer Name,Compte,Mémo,Montant,SF External ID,Article,Statut,Montant (hors taxe),Montant payé,Devise,Numéro de facture,Commande client,SF Customer ID,Montant (taxe totale de la transaction),Montant (Total de la transaction),Tax Amount,Item Amount TTC,Created From ID,Quantité,Nature,Nature de la transaction,Nature,Tax Amount,Montant (taxe),Created From SF ID,File Internal ID,File Name,File Size KB,File Folder,File Type,File URL,File External ID,File Desc,File Created Date
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,3 - myPixid EU - Contrat,1.88,,3 - myPixid EU - Attestation d'Annulation,Payé en totalité,1.88,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,4,,,Usage,,.38,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,2 - PPE Partenaires - Contrat,1745.58,,2 - PPE Partenaires - Avenant,Payé en totalité,1745.58,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,3714,,,Usage,,349.12,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,1 - GC-Pack EU - Contrat,4016.62,,1 - GC-Pack EU - Contrat Initial,Payé en totalité,4016.62,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,8546,,,Usage,,803.32,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,1 - GC-Pack EU - Contrat,2279.97,,1 - GC-Pack EU - Avenant,Payé en totalité,2279.97,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,4851,,,Usage,,455.99,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,1 - GC-Pack EU - Contrat,82.72,,1 - GC-Pack EU - Attestation d'Annulation,Payé en totalité,82.72,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,176,,,Usage,,16.54,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,1 - GC-Pack EU - PYA T3 (2000 - 5000),43230.37,,1 - GC-Pack EU - PYA T3 (2000 - 5000),Payé en totalité,43230.37,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,410.896,,,Usage,,8646.07,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,2 - PPE Partenaires - PYA T2 (1000 - 2000),7732.71,,2 - PPE Partenaires - PYA T2 (1000 - 2000),Payé en totalité,7732.71,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,208.71,,,Usage,,1546.54,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,3 - myPixid EU - Contrat,1.88,,3 - myPixid EU - Contrat Annulé,Payé en totalité,1.88,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,4,,,Usage,,.38,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,1.1 - Pack Apporté - PYA,2346.61,,1.1 - Pack Apporté - PYA,Payé en totalité,2346.61,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,16.69,,,Usage,,469.33,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,3 - myPixid EU (non brandé) - PYA,.00,,3 - myPixid EU (non brandé) - PYA,Payé en totalité,.00,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,71.518,,,Usage,,.00,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,3 - myPixid EU - Facture,57.86,,3 - myPixid EU - Facture,Payé en totalité,57.86,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,263,,,Usage,,11.57,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,2 - PPE Partenaires - Contrat,.47,,2 - PPE Partenaires - Attestation d'Annulation,Payé en totalité,.47,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,1,,,Usage,,.09,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,1 - GC-Pack EU - Contrat,48.41,,1 - GC-Pack EU - Contrat Annulé,Payé en totalité,48.41,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,103,,,Usage,,9.68,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,3 - myPixid EU - Contrat,577.16,,3 - myPixid EU - Avenant,Payé en totalité,577.16,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,1228,,,Usage,,115.43,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,2 - PPE Partenaires - Contrat,.47,,2 - PPE Partenaires - Contrat Annulé,Payé en totalité,.47,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,1,,,Usage,,.09,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,1.1 - Pack Apporté - Contrat,108.57,,1.1 - Pack Apporté - Avenant,Payé en totalité,108.57,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,231,,,Usage,,21.71,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004295,ADEQ-00088 ADEQUAT INTERIM,4110 Revenue - Usage,2 - PPE Partenaires - Contrat,2984.50,,2 - PPE Partenaires - Contrat Initial,Payé en totalité,2984.50,.00,EUR,Facture #2025004295, ,001IV000015Li2jYAC,13291.02,79746.19,,ERREUR : champ non trouvé,27897,6350,,,Usage,,596.90,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,5 - Portail - Contrat,2.82,,5 - Portail - Attestation d'Annulation,Payé en totalité,2.82,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,6,,,Usage,,.56,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,5 - Portail - Contrat,3.29,,5 - Portail - Attestation d'Annulation,Payé en totalité,3.29,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,7,,,Usage,,.66,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,1 - GC-Pack EU - Contrat,175.78,,1 - GC-Pack EU - Contrat Initial,Payé en totalité,175.78,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,374,,,Usage,,35.16,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,5 - Portail - Contrat,2.35,,5 - Portail - Contrat Annulé,Payé en totalité,2.35,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,5,,,Usage,,.47,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,5 - Portail - Contrat,.94,,5 - Portail - Contrat Annulé,Payé en totalité,.94,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,2,,,Usage,,.19,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,2 - PPE Partenaires - Contrat,.47,,2 - PPE Partenaires - Contrat Annulé,Payé en totalité,.47,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,1,,,Usage,,.09,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,2 - PPE Partenaires - Contrat,232.18,,2 - PPE Partenaires - Avenant,Payé en totalité,232.18,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,494,,,Usage,,46.44,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,3 - myPixid EU - Facture,2.42,,3 - myPixid EU - Facture,Payé en totalité,2.42,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,11,,,Usage,,.48,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,2 - PPE Partenaires - Contrat,.47,,2 - PPE Partenaires - Attestation d'Annulation,Payé en totalité,.47,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,1,,,Usage,,.09,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,1 - GC-Pack EU - Contrat,127.84,,1 - GC-Pack EU - Avenant,Payé en totalité,127.84,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,272,,,Usage,,25.57,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,5 - Portail - Contrat,321.95,,5 - Portail - Avenant,Payé en totalité,321.95,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,685,,,Usage,,64.39,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,5 - Portail - Contrat,598.78,,5 - Portail - Avenant,Payé en totalité,598.78,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,1274,,,Usage,,119.76,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,1 - GC-Pack EU - Contrat,.94,,1 - GC-Pack EU - Contrat Annulé,Payé en totalité,.94,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,2,,,Usage,,.19,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,2 - PPE Partenaires - PYA T1 (0 - 1000),1335.20,,2 - PPE Partenaires - PYA T1 (0 - 1000),Payé en totalité,1335.20,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,34.236,,,Usage,,267.04,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,3 - myPixid EU (brandé) - PYA T1 (0 - 1000),.35,,3 - myPixid EU (brandé) - PYA T1 (0 - 1000),Payé en totalité,.35,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,.027,,,Usage,,.07,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,3 - myPixid EU (non brandé) - PYA,.00,,3 - myPixid EU (non brandé) - PYA,Payé en totalité,.00,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,.948,,,Usage,,.00,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,3 - myPixid EU - Contrat,6.58,,3 - myPixid EU - Avenant,Payé en totalité,6.58,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,14,,,Usage,,1.32,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,3 - myPixid EU - Contrat,.47,,3 - myPixid EU - Contrat Initial,Payé en totalité,.47,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,1,,,Usage,,.09,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,2 - PPE Partenaires - Contrat,246.75,,2 - PPE Partenaires - Contrat Initial,Payé en totalité,246.75,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,525,,,Usage,,49.35,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,4 - myPixid Ressources - Contrat de mission,2440.64,,4 - myPixid Ressources - Contrat de mission,Payé en totalité,2440.64,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,7627,,,Usage,,488.13,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,1 - GC-Pack EU - Contrat,1.88,,1 - GC-Pack EU - Attestation d'Annulation,Payé en totalité,1.88,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,4,,,Usage,,.38,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,5 - Portail - Contrat,540.50,,5 - Portail - Contrat Initial,Payé en totalité,540.50,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,1150,,,Usage,,108.10,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,4 - myPixid Ressources - Bulletin de salaire,810.70,,4 - myPixid Ressources - Bulletin de salaire,Payé en totalité,810.70,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,3685,,,Usage,,162.14,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,5 - Portail - Contrat,780.20,,5 - Portail - Contrat Initial,Payé en totalité,780.20,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,1660,,,Usage,,156.04,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,3 - myPixid EU - Contrat,5.64,,3 - myPixid EU - Contrat Initial,Payé en totalité,5.64,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,12,,,Usage,,1.13,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,1 - GC-Pack EU - PYA T1 (0 - 1000),1629.59,,1 - GC-Pack EU - PYA T1 (0 - 1000),Payé en totalité,1629.59,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,13.94,,,Usage,,325.91,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004296,ENTH-00411 GROUPE MENWAY (HOMINIS),4110 Revenue - Usage,5 - Portail - PYA T1 (0 - 1000),3714.88,,5 - Portail - PYA T1 (0 - 1000),Payé en totalité,3714.88,.00,EUR,Facture #2025004296, ,001IV000015EtnqYAC,2596.73,15580.34,,ERREUR : champ non trouvé,27903,114.304,,,Usage,,742.98,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004297,PART-00022 PARTNAIRE (Societe de Formatique et Financiere - S2F),4110 Revenue - Usage,1 - GC-Pack EU - Contrat,2787.57,,1 - GC-Pack EU - Contrat Initial,Payé en totalité,2787.57,.00,EUR,Facture #2025004297, ,001IV000015EtNm,12900.24,77401.52,,ERREUR : champ non trouvé,27915,5931,,,Usage,,557.51,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004297,PART-00022 PARTNAIRE (Societe de Formatique et Financiere - S2F),4110 Revenue - Usage,2 - PPE Partenaires - Contrat,.94,,2 - PPE Partenaires - Contrat Annulé,Payé en totalité,.94,.00,EUR,Facture #2025004297, ,001IV000015EtNm,12900.24,77401.52,,ERREUR : champ non trouvé,27915,2,,,Usage,,.19,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004297,PART-00022 PARTNAIRE (Societe de Formatique et Financiere - S2F),4110 Revenue - Usage,2 - PPE Partenaires - Contrat,1.41,,2 - PPE Partenaires - Attestation d'Annulation,Payé en totalité,1.41,.00,EUR,Facture #2025004297, ,001IV000015EtNm,12900.24,77401.52,,ERREUR : champ non trouvé,27915,3,,,Usage,,.28,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004297,PART-00022 PARTNAIRE (Societe de Formatique et Financiere - S2F),4110 Revenue - Usage,2 - PPE Partenaires - Contrat,806.99,,2 - PPE Partenaires - Avenant,Payé en totalité,806.99,.00,EUR,Facture #2025004297, ,001IV000015EtNm,12900.24,77401.52,,ERREUR : champ non trouvé,27915,1717,,,Usage,,161.40,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004297,PART-00022 PARTNAIRE (Societe de Formatique et Financiere - S2F),4110 Revenue - Usage,1 - GC-Pack EU - Contrat,12.22,,1 - GC-Pack EU - Contrat Annulé,Payé en totalité,12.22,.00,EUR,Facture #2025004297, ,001IV000015EtNm,12900.24,77401.52,,ERREUR : champ non trouvé,27915,26,,,Usage,,2.44,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004297,PART-00022 PARTNAIRE (Societe de Formatique et Financiere - S2F),4110 Revenue - Usage,3 - myPixid EU - Contrat,453.55,,3 - myPixid EU - Contrat Initial,Payé en totalité,453.55,.00,EUR,Facture #2025004297, ,001IV000015EtNm,12900.24,77401.52,,ERREUR : champ non trouvé,27915,965,,,Usage,,90.71,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004297,PART-00022 PARTNAIRE (Societe de Formatique et Financiere - S2F),4110 Revenue - Usage,3 - myPixid EU - Contrat,.94,,3 - myPixid EU - Attestation d'Annulation,Payé en totalité,.94,.00,EUR,Facture #2025004297, ,001IV000015EtNm,12900.24,77401.52,,ERREUR : champ non trouvé,27915,2,,,Usage,,.19,,,,,,,,,, 
, ,31/07/2025,04/08/2025,Jul 2025,Jul 2025,Facture,2025004297,PART-00022 PARTNAIRE (Societe de Formatique et Financiere - S2F),4110 Revenue - Usage,3 - myPixid EU (non brandé) - PYA,.00,,3 - myPixid EU (non brandé) - PYA,Payé en totalité,.00,.00,EUR,Facture #2025004297, ,001IV000015EtNm,12900.24,77401.52,,ERREUR : champ non trouvé,27915,46.206,,,Usage,,.00,,,,,,,,,, 
